2025-07-04 00:43:03,209 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:05,446 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:07,812 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:10,059 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:12,423 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:14,670 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:17,032 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:19,237 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:21,630 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:23,855 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:26,237 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:28,492 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:30,736 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:33,084 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:35,348 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 00:43:37,581 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:12,650 - sltp - INFO - Starting the SL/TP checker task (triggered by market updates).
2025-07-04 01:29:13,130 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:15,392 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:17,764 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:19,997 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:22,389 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:24,713 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:27,014 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:29,687 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:30,044 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:31,675 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:33,058 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:33,935 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:36,306 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:37,957 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:38,671 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:38,964 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:40,840 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:43,251 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:45,490 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:47,865 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:29:50,083 - sltp - INFO - Market data update received, triggering SL/TP check
